model,accuracy,precision,recall,f1,auc
LogReg (temporal),0.8056411837237978,0.7790148448043185,0.7921097770154374,0.7855077394114646,0.8860912724987627
RandomForest (temporal),0.810727496917386,0.8104527051895473,0.7554030874785592,0.7819602272727273,0.8880136376358039
LogReg (BoW baseline),0.9839704069050554,0.9871750433275563,0.9770154373927958,0.9820689655172414,0.9983536712114249
