,0
body_prop_present,0.06356017512534244
art_prop_present,0.06280042430914216
art_prop_past,0.04994601167455577
body_prop_past,0.047442831055708186
art_aspect_perfect,0.04122406897985535
body_aspect_perfect,0.03362035409544312
align_title_body,0.029409753832712274
art_entropy,0.0286637099519404
lead_prop_present,0.02674419225873559
coherence_emb_std,0.024579637417356064
coherence_emb,0.02217100820263109
art_aspect_progressive,0.02079854112159144
body_entropy,0.020416826728251264
lead_prop_past,0.020009414860139147
coherence_emb_min,0.018993123356716164
conn_then,0.018736465296651614
body_aspect_simple,0.017774705398888035
art_aspect_simple,0.017739375912861545
title_prop_present,0.017555936255794612
align_lead_body,0.017305305145223507
